Date,Open,High,Low,Close,Adj Close,Volume
2010-11-08,42.880383,43.363091,42.746300,42.934017,30.936893,1072100
2010-11-09,43.068104,43.068104,42.147385,42.344044,30.511770,664900
2010-11-10,42.120567,43.121735,41.932850,43.103859,31.059278,1507700
2010-11-11,42.817810,44.230171,42.603275,44.078209,31.761360,2067400
2010-11-12,43.604443,43.792160,43.050224,43.488235,31.336243,2397600
2010-11-15,43.783222,44.346378,43.783222,43.836857,31.587463,1733100
2010-11-16,43.541870,44.006699,42.370861,42.522823,30.640600,2206500
2010-11-17,42.674786,43.908367,42.612213,43.818977,31.574572,2213600
2010-11-18,44.105026,44.373196,43.550808,43.675953,31.471504,1428500
2010-11-19,43.667015,44.033512,43.559746,43.836857,31.587463,1288900
2010-11-22,43.756405,44.140781,43.559746,43.979881,31.690495,1734000
2010-11-23,43.541870,44.248051,43.354149,43.935184,31.658310,2682000
2010-11-24,44.301685,44.686062,44.203354,44.408951,31.999680,1314600
2010-11-26,44.167599,44.569855,43.935184,44.239113,31.877298,381600
2010-11-29,43.854733,44.203354,43.506111,44.033512,31.729151,1471400
2010-11-30,43.693832,44.149719,43.515053,43.756405,31.529482,1521000
2010-12-01,44.489403,44.909534,44.069271,44.087147,31.767807,2586900
2010-12-02,44.078209,44.954231,43.917309,44.712879,32.218689,1711000
2010-12-03,44.578793,45.016804,44.400013,44.981049,32.411930,1146900
2010-12-06,44.882717,44.918476,44.480465,44.793327,32.276661,629400
2010-12-07,45.115131,45.445877,44.936352,44.963169,32.399040,1355700
2010-12-08,44.900597,45.115131,44.248051,44.337440,31.948151,1487600
2010-12-09,44.623489,44.855904,44.239113,44.364258,31.967485,1094800
2010-12-10,44.507282,44.534100,44.006699,44.230171,31.870850,1211300
2010-12-13,44.346378,44.444710,43.354149,43.389908,31.265400,1805200
2010-12-14,43.452480,43.604443,42.612213,43.220066,31.143013,2249400
2010-12-15,43.148552,44.015636,43.130676,43.792160,31.555252,4001000
2010-12-16,43.979881,44.551975,43.613380,44.435768,32.019009,1743800
2010-12-17,44.435768,44.695000,44.042454,44.596672,32.134941,1935000
2010-12-20,44.846962,45.293915,44.551975,45.079376,32.482769,2762600
2010-12-21,43.818977,44.051392,41.834518,42.496006,30.621279,7879200
2010-12-22,42.433434,42.710541,42.040115,42.192081,30.402277,2372400
2010-12-23,42.227837,42.460251,41.709373,41.789825,30.112425,1436800
2010-12-27,41.745129,41.986485,41.360752,41.906033,30.196157,1217400
2010-12-28,41.897095,42.245712,41.441204,41.637863,30.002920,1613100
2010-12-29,41.798763,42.254654,41.718311,41.977543,30.247698,1104800
2010-12-30,41.852398,42.102692,41.798763,41.879215,30.176842,1012000
